คลื่นความถี่ (MHz),ผู้ใช้คลื่นความถี่,การนำไปใช้งาน
118.75,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
118.8,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
118.85,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
118.9,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
118.95,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
119.0,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
119.05,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
119.1,"กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ, กรมฝนหลวงและการบินเกษตร, บริษัท วิทยุการบินแห่งประเทศไทย จำกัด","ติดต่อสื่อสารในการปฏิบัติงาน, แจ้งเหตุอันตรายและความปลอดภัย, ติดต่อสื่อสารทางด้านการบิน"
119.15,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
119.2,กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ,ติดต่อสื่อสารในการปฏิบัติงาน
119.25,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
119.3,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
119.35,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
119.4,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
119.45,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
119.5,กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ,ติดต่อสื่อสารในการปฏิบัติงาน
119.6,กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ,ติดต่อสื่อสารในการปฏิบัติงาน
119.65,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
119.7,"กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ, กรมสื่อสารทหารเรือ, บริษัท วิทยุการบินแห่งประเทศไทย จำกัด","ติดต่อสื่อสารในการปฏิบัติงาน, ติดต่อสื่อสารทางด้านการบิน, ติดต่อสื่อสารราชการ"
119.75,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
119.8,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
119.9,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
120.0,กรมการทหารสื่อสาร กองทัพบก,ติดต่อสื่อสารกับอากาศยาน
120.05,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
120.1,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
120.2,กรมการทหารสื่อสาร กองทัพบก,ติดต่อสื่อสารกับอากาศยาน
120.25,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
